Date,Open,High,Low,Close,Adj Close,Volume
2006-11-21,44.415909,44.878040,44.364559,44.826691,29.598753,1161832
2006-11-22,44.955063,45.186127,44.441582,44.441582,29.344463,1758534
2006-11-23,44.595627,44.929386,44.544277,44.749668,29.547890,1339194
2006-11-24,44.492931,44.723995,44.287537,44.569950,29.429235,1881963
2006-11-27,44.544277,44.878040,43.671364,43.671364,28.835901,2576652
2006-11-28,43.645691,44.364559,43.388950,43.902428,28.988464,2643011
2006-11-29,44.056473,44.364559,43.722713,44.338886,29.276657,1439011
2006-11-30,44.287537,44.569950,43.851082,43.876755,28.971514,1992655
2006-12-01,44.082146,44.107822,43.003841,43.029514,28.412086,2819470
2006-12-04,43.080864,43.902428,43.055187,43.671364,28.835901,2248802
2006-12-05,43.722713,43.979450,43.311928,43.902428,28.988464,2649706
2006-12-06,43.876755,44.287537,43.697037,44.159168,29.157993,1277980
2006-12-07,44.030800,44.801018,43.851082,44.313213,29.259705,1557513
2006-12-08,43.953777,44.338886,43.799732,44.236191,29.208847,1522696
2006-12-11,44.544277,45.186127,44.492931,45.109104,29.785223,2301665
2006-12-12,45.083431,45.622581,44.929386,45.622581,30.124271,2041817
2006-12-13,45.186127,46.444149,45.186127,46.367126,30.615892,3171878
2006-12-14,46.264431,46.469822,45.776627,46.213085,30.514179,2051660
2006-12-15,46.136063,46.290104,45.750954,46.084713,30.429413,3010181
2006-12-18,45.853649,46.238758,45.725281,46.238758,30.531126,1653404
2006-12-19,46.033367,46.367126,45.750954,45.956345,30.344658,1826206
2006-12-20,45.982018,46.880608,45.982018,46.829258,30.921034,1895626
2006-12-21,46.726563,46.829258,46.110390,46.238758,30.531126,1405141
2006-12-22,46.110390,46.418476,45.571236,45.725281,30.192089,1074525
2006-12-27,46.110390,46.880608,45.956345,46.777908,30.887125,1080956
2006-12-28,46.521172,46.752235,46.238758,46.469822,30.683697,822032
2006-12-29,46.341454,46.598194,46.110390,46.187408,30.497223,981228
2007-01-02,46.444149,47.085999,46.444149,47.085999,31.090553,1312432
2007-01-03,47.008976,47.085999,46.598194,46.726563,30.853218,1267663
2007-01-04,46.546844,46.726563,46.264431,46.392799,30.632839,1350104
2007-01-05,45.802299,46.367126,45.673931,45.673931,30.158173,2293660
2007-01-08,45.673931,45.827976,45.211800,45.365845,29.954750,2602830
2007-01-09,45.288822,46.059040,45.186127,45.648258,30.141224,2175689
2007-01-10,45.237473,45.802299,44.929386,45.648258,30.141224,2757208
2007-01-11,45.853649,46.418476,45.750954,46.392799,30.632839,2539244
